Date,Lower Silesia (DS),Kuyavia-Pomerania (KP),Lubusz(LB),Łódź (LD),Lublin (LU),Lesser Poland (MA),Masovia (MZ),Opole (OP),Podlaskie (PD),Subcarpathian (PK),Pomerania(PM),Holy Cross (SK),Silesia (SL),Warmia-Masuria (WN),Greater Poland (WP),West Pomerania (ZP),Daily,Total
3/4/20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3/5/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/6/20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,5
3/7/20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6
3/8/20,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,5,11
3/9/20,1,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,6,17
3/10/20,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,5,22
3/11/20,0,0,0,1,1,0,1,1,0,1,0,0,1,2,1,0,9,31
3/12/20,3,0,0,1,4,0,2,1,0,2,0,0,3,0,3,1,20,51
3/13/20,1,0,0,3,1,0,5,0,0,3,0,0,1,0,1,2,17,68
3/14/20,5,0,0,10,8,0,5,2,0,1,2,2,0,0,1,0,36,104
3/15/20,2,0,1,4,2,0,6,0,0,1,0,1,2,1,0,1,21,125
3/16/20,12,0,0,12,1,1,13,2,0,3,0,0,4,0,4,0,52,177
3/17/20,11,8,0,11,4,3,3,2,1,0,6,0,6,2,2,2,61,238
3/18/20,2,0,1,0,0,1,28,1,1,3,1,1,6,4,0,0,49,287
3/19/20,13,3,6,6,3,1,16,1,-1,3,0,1,12,1,2,1,68,355
3/20/20,5,3,0,9,3,7,25,0,2,2,1,1,4,5,3,0,70,425
3/21/20,8,4,0,34,3,2,20,0,2,6,4,1,10,3,13,1,111,536
3/22/20,13,0,2,15,8,8,20,4,1,4,3,0,10,2,6,2,98,634
3/23/20,22,3,5,5,9,9,28,5,1,1,4,1,11,3,4,4,115,749
3/24/20,33,1,5,18,6,16,37,2,0,7,1,0,10,4,2,9,151,900
3/25/20,16,5,2,15,6,7,39,2,3,6,0,6,20,4,15,5,151,1051
3/26/20,15,4,7,14,14,13,40,3,3,10,6,1,20,6,12,2,170,1221
3/27/20,28,2,1,10,4,24,27,2,4,8,4,7,14,5,21,7,168,1389
3/28/20,21,4,2,14,9,19,103,3,9,10,4,5,24,2,9,11,249,1638
